CARRIERS;4.5G+;LTE+;LTE;HSPA;HSDPA/HSUPA/HSPA
GLOBAL;N/A;4G+;4G;H+;H
ANC,BVO,BVE,BVV,BVT,TTT,BAT,BAA,CWW,TPA,PCW,TGP,GTO,GLO;N/A;LTE+;LTE;H+;H
JDI;N/A;N/A;4G LTE or LTE;H+;H
DOR;N/A;LTE+;LTE;4G;3G
CGU,CTE,ETE;N/A;N/A;LTE;H+;H
PNT,ZTM;N/A;4.5G;4G;H+;H
EBE,TMM,NBS,PBS,UFU,CRM;N/A;LTE+;LTE;H+;H
SAM,COB;N/A;4.5G;4G;H+;H
UFN,CHT,ZVV;N/A;4G+;4G;H+;H
CDR;4.5G+;4.5G;4G LTE;H+;H
CPA,CTU,PGU;4.5G+;4.5G;LTE;H+;H
PCT;4.5G+;4.5G;4G LTE;4G;H
CTI,ZTA,COM,CRC,ECO,CTP,PET;4.5G+;4.5G;4G;H+;H
CHL;4G+;4G+;4G;H+;H
TCE;4.5G;4.5G;4G;H+;H
